년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2017-01-01,서귀포시,남원읍,그외 기타 종합 소매업,남성,1,100000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,기타 주점업,남성,158,27135000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,그외 기타 종합 소매업,여성,2,1900000,4013466.798,285862.095,2430533.785,2020-12-15
2017-01-01,서귀포시,남원읍,기타음식료품위주종합소매업,남성,4623,182203998,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,빵 및 과자류 소매업,남성,440,6222450,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,서양식 음식점업,남성,591,11796000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,수산물 소매업,남성,119,17516000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,기타 외국식 음식점업,남성,67,1670000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,전시 및 행사 대행업,남성,435,12708300,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,중식 음식점업,남성,155,3831000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,차량용 가스 충전업,남성,53,3169000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,남성,16,375500,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,294,9721540,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,슈퍼마켓,남성,1755,36802618,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,수산물 소매업,남성,45,3495000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,서양식 음식점업,남성,1071,24036900,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,여성,41,1339000,4013466.798,285862.095,2430533.785,2020-12-15
2017-01-01,서귀포시,남원읍,과실 및 채소 소매업,여성,548,29699180,4013466.798,285862.095,2430533.785,2020-12-15
2017-01-01,서귀포시,남원읍,골프장 운영업,여성,863,108365729,4013466.798,285862.095,2430533.785,2020-12-15
2017-01-01,서귀포시,남원읍,건강보조식품 소매업,여성,10,283500,4013466.798,285862.095,2430533.785,2020-12-15
2017-01-01,서귀포시,남원읍,휴양콘도 운영업,남성,1664,95913780,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,화장품 및 방향제 소매업,남성,57,2176400,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,한식 음식점업,남성,4683,231687924,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,113,2768600,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,체인화 편의점,남성,4612,49271030,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,차량용 주유소 운영업,남성,4414,255016971,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,대륜동,욕탕업,남성,62,5989000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,남원읍,슈퍼마켓,남성,1935,55925490,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,대륜동,육류 소매업,남성,5,105100,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,일식 음식점업,남성,139,8121000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,안덕면,일식 음식점업,남성,28,2065000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,육류 소매업,남성,1,116000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,욕탕업,남성,1237,32983200,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,여관업,남성,1615,40109467,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,스포츠 및 레크레이션 용품 임대업,남성,185,9616900,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,슈퍼마켓,남성,1310,24321020,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,전시 및 행사 대행업,남성,4157,107521110,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,수산물 소매업,남성,217,20287501,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,빵 및 과자류 소매업,남성,355,5716200,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,체인화 편의점,여성,3088,27548580,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,307,9052300,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,한식 음식점업,여성,4572,238037450,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,화장품 및 방향제 소매업,여성,1347,32378770,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,골프장 운영업,남성,1352,146887680,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,서양식 음식점업,남성,4286,111346010,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,과실 및 채소 소매업,남성,618,36991804,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,중식 음식점업,남성,343,10280500,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,차량용 주유소 운영업,남성,4275,276036421,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,송산동,한식 음식점업,여성,15146,663550681,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,송산동,호텔업,여성,195,19022518,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,송산동,화장품 및 방향제 소매업,여성,1662,95347670,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,송산동,휴양콘도 운영업,여성,4,514000,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,안덕면,건강보조식품 소매업,여성,1,100000,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,골프장 운영업,여성,522,46259427,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,차량용 가스 충전업,남성,55,3019000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,송산동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,4287,63897525,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,안덕면,중식 음식점업,여성,164,4397000,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,차량용 주유소 운영업,여성,2128,120298099,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,화장품 및 방향제 소매업,남성,699,17565770,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,한식 음식점업,남성,6996,384179986,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,262,7404500,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,체인화 편의점,남성,7395,78605250,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,송산동,욕탕업,여성,7,115000,586535.392,40381.389,519220.084,2020-12-15
2017-01-01,서귀포시,안덕면,차량용 가스 충전업,여성,24,1167000,3256697.665,486265.17,2913624.965,2020-12-15
2017-01-01,서귀포시,안덕면,관광 민예품 및 선물용품 소매업,남성,274,10732300,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,그외 기타 스포츠시설 운영업,남성,66,2672800,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,대륜동,그외 기타 종합 소매업,여성,4,270000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,그외 기타 스포츠시설 운영업,여성,13,301400,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,관광 민예품 및 선물용품 소매업,여성,40,1281250,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,과실 및 채소 소매업,여성,330,46095500,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,여관업,여성,400,34702012,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,건강보조식품 소매업,여성,95,6948810,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,기타 대형 종합 소매업,여성,10555,664589550,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,호텔업,남성,11,693000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,323,9765670,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,체인화 편의점,남성,10017,93101830,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,차량용 주유소 운영업,남성,3043,155789333,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,차량용 가스 충전업,남성,152,4695584,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,중식 음식점업,남성,631,13914010,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,전시 및 행사 대행업,남성,181,14808000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,한식 음식점업,남성,6815,294024340,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,기타 외국식 음식점업,여성,351,19235400,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,기타 주점업,여성,7,870000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,기타음식료품위주종합소매업,여성,703,22646410,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,안덕면,그외 기타 종합 소매업,남성,2,2000000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,기타 외국식 음식점업,남성,213,11516000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,기타 주점업,남성,35,4630000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,기타음식료품위주종합소매업,남성,2021,73606360,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,비알콜 음료점업,남성,488,7465400,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,안덕면,그외 기타 분류안된 오락관련 서비스업,남성,9,398000,3472759.389,762639.457,3304605.552,2020-12-15
2017-01-01,서귀포시,서홍동,일식 음식점업,남성,3,278000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,육류 소매업,남성,45,2168600,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,욕탕업,남성,492,6366700,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,여성,1,8000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,슈퍼마켓,여성,850,17501790,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,수산물 소매업,여성,51,2856000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,서양식 음식점업,여성,1205,28081550,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,빵 및 과자류 소매업,여성,941,13377170,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,비알콜 음료점업,여성,1060,8411078,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,일반유흥 주점업,남성,59,5369000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,남성,262,8671410,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,여관업,남성,113,6283900,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,비알콜 음료점업,남성,241,2904000,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,동홍동,비알콜 음료점업,여성,827,9229490,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,빵 및 과자류 소매업,여성,1371,23511670,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,서양식 음식점업,여성,362,10371800,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,수산물 소매업,여성,87,5306000,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,그외 기타 종합 소매업,여성,32,3939500,5883945.23,381103.946,2500798.788,2020-12-15
