년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2018-01-01,제주시,아라동,차량용 주유소 운영업,남성,3954,205339045,10638642.19,1352276.374,4441626.561000002,2020-12-15
2018-01-01,제주시,삼도1동,차량용 주유소 운영업,남성,490,29469792,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도2동,육류 소매업,여성,89,2386740,1528266.501,197762.644,1943188.862,2020-12-15
2018-01-01,제주시,삼도1동,스포츠 및 레크레이션 용품 임대업,남성,106,12517300,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,수산물 소매업,남성,37,2621000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,봉개동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,34,360200,1103490.523,125339.333,1130078.69,2020-12-15
2018-01-01,제주시,봉개동,한식 음식점업,여성,546,17997000,1103490.523,125339.333,1130078.69,2020-12-15
2018-01-01,제주시,봉개동,휴양콘도 운영업,여성,702,85885900,1103490.523,125339.333,1130078.69,2020-12-15
2018-01-01,제주시,삼도1동,건강보조식품 소매업,남성,33,4724580,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,과실 및 채소 소매업,남성,58,7194000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,관광 민예품 및 선물용품 소매업,남성,11,4931000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,슈퍼마켓,남성,9747,230757020,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,그외 기타 종합 소매업,남성,3,2400000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,기타 주점업,남성,534,94945000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,기타음식료품위주종합소매업,남성,41,684600,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,마사지업,남성,1,16000,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,비알콜 음료점업,남성,76,727800,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,빵 및 과자류 소매업,남성,718,9202870,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,서양식 음식점업,남성,382,5800840,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,기타 외국식 음식점업,남성,117,1688500,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,애월읍,골프장 운영업,여성,132,28214900,10959122.82,851462.082,6783158.522999999,2020-12-15
2018-01-01,제주시,삼도2동,일반유흥 주점업,여성,10,984000,1528266.501,197762.644,1943188.862,2020-12-15
2018-01-01,제주시,삼도2동,중식 음식점업,여성,309,8006500,1528266.501,197762.644,1943188.862,2020-12-15
2018-01-01,제주시,삼도1동,건강보조식품 소매업,여성,58,7459190,3441152.339,279580.78,2289776.063,2020-12-15
2018-01-01,제주시,삼도1동,화장품 및 방향제 소매업,남성,68,7080850,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,호텔업,남성,142,44386651,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,삼도1동,한식 음식점업,남성,5369,183289264,3052819.723,235162.358,2470076.451,2020-12-15
2018-01-01,제주시,봉개동,비알콜 음료점업,남성,208,2000400,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,빵 및 과자류 소매업,남성,130,959500,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,서양식 음식점업,남성,97,2775100,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,중식 음식점업,여성,58,1447500,1103490.523,125339.333,1130078.69,2020-12-15
2018-01-01,제주시,봉개동,슈퍼마켓,남성,2729,59683200,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,스포츠 및 레크레이션 용품 임대업,남성,10,269000,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,여관업,남성,66,1735870,1186796.202,266553.173,1540325.2119999996,2020-12-15
2018-01-01,제주시,봉개동,육류 소매업,남성,53,6943100,1186796.202,266553.173,1540325.2119999996,2020-12-15
