년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2019-01-01,제주시,화북동,과실 및 채소 소매업,여성,155,11202300,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,비알콜 음료점업,여성,1184,9674400,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,기타 외국식 음식점업,여성,412,14592800,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,기타 대형 종합 소매업,여성,4176,168038410,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,관광 민예품 및 선물용품 소매업,여성,99,7165200,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,기타 주점업,여성,5,900000,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,화장품 및 방향제 소매업,남성,77,6035850,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,차량용 주유소 운영업,남성,5572,290579779,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,한식 음식점업,남성,8839,302773821,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,1209,18689420,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,체인화 편의점,남성,11735,104736550,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,차량용 가스 충전업,남성,847,34697566,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,건강보조식품 소매업,여성,58,11650120,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,중식 음식점업,남성,551,12599600,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,일식 음식점업,남성,89,6603000,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,한림읍,내항 여객 운송업,여성,112,2586000,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,연동,면세점,남성,31,26020120,14686274.53,1925602.948,8837433.499,2020-12-15
2019-01-01,제주시,한림읍,기타 주점업,여성,34,5120000,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,빵 및 과자류 소매업,여성,2077,25690930,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한경면,수산물 소매업,여성,74,7908000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,슈퍼마켓,여성,970,24845620,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,스포츠 및 레크레이션 용품 임대업,여성,11,270000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,여관업,여성,25,761450,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,욕탕업,여성,64,1166500,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,육류 소매업,여성,5,1384000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,일식 음식점업,여성,94,4538200,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,전시 및 행사 대행업,여성,213,5124300,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,중식 음식점업,여성,177,5023300,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,차량용 가스 충전업,여성,103,10447900,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,차량용 주유소 운영업,여성,467,37721565,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,체인화 편의점,여성,1229,12630320,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,87,3343000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,한식 음식점업,여성,1931,78620210,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한림읍,기타음식료품위주종합소매업,여성,4,147510,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,서양식 음식점업,여성,232,3915100,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한림읍,일반유흥 주점업,여성,57,14078000,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,슈퍼마켓,여성,3969,68798680,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한림읍,차량용 가스 충전업,여성,168,19472355,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,중식 음식점업,여성,384,13498900,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,전시 및 행사 대행업,여성,714,23732900,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,일식 음식점업,여성,233,19660900,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한경면,서양식 음식점업,여성,1004,21343700,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한림읍,욕탕업,여성,52,534600,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,차량용 주유소 운영업,여성,2131,129870829,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,욕탕업,남성,568,15215000,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,한림읍,스포츠 및 레크레이션 용품 임대업,여성,48,2592200,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,슈퍼마켓,여성,3304,95613110,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,수산물 소매업,여성,234,47448884,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,서양식 음식점업,여성,3480,68791420,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,빵 및 과자류 소매업,여성,1783,26330920,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,체인화 편의점,여성,6777,74420410,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,한림읍,여관업,여성,339,29706660,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,수산물 소매업,여성,140,7867535,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한림읍,육류 소매업,여성,265,19203370,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,육류 소매업,남성,457,25848010,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,스포츠 및 레크레이션 용품 임대업,여성,40,1711000,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,욕탕업,여성,339,9786000,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,육류 소매업,여성,519,24739247,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,일식 음식점업,여성,34,3040078,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,전시 및 행사 대행업,여성,18,211000,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,중식 음식점업,여성,264,6463000,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한림읍,비알콜 음료점업,여성,566,6528370,5898573.1170000015,345794.678,2694302.9060000004,2020-12-15
2019-01-01,제주시,화북동,차량용 가스 충전업,여성,433,20014224,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,체인화 편의점,여성,4786,38035640,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1180,19184040,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,한식 음식점업,여성,5230,164985310,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,화북동,화장품 및 방향제 소매업,여성,205,13808850,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,도두동,한식 음식점업,여성,1747,88000899,408070.333,55171.059,1202117.08,2020-12-15
2019-01-01,제주시,화북동,전시 및 행사 대행업,남성,11,252500,8485364.087000001,868740.9140000001,3386234.026,2020-12-15
2019-01-01,제주시,화북동,차량용 주유소 운영업,여성,3128,210066179,9078626.288,539749.963,2866049.927,2020-12-15
2019-01-01,제주시,한경면,빵 및 과자류 소매업,여성,118,2228000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한림읍,한식 음식점업,남성,12312,511406220,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한경면,전시 및 행사 대행업,남성,229,6283200,2129770.455,214431.462,1242081.622,2020-12-15
2019-01-01,제주시,한림읍,빵 및 과자류 소매업,남성,1220,17379850,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,욕탕업,남성,79,794800,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,여관업,남성,624,39916574,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,스포츠 및 레크레이션 용품 임대업,남성,143,11434200,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,슈퍼마켓,남성,5270,183438280,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,수산물 소매업,남성,242,37037208,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,일도2동,육류 소매업,남성,451,28760350,9752049.415,567791.426,4040475.83,2020-12-15
2019-01-01,제주시,한림읍,서양식 음식점업,남성,2545,56215860,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,일반유흥 주점업,남성,378,135336000,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,내항 여객 운송업,남성,100,2323500,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,기타음식료품위주종합소매업,남성,26,1945370,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,기타 주점업,남성,177,38396000,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,기타 외국식 음식점업,남성,251,5830000,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,그외 기타 종합 소매업,남성,3793,185241910,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,비알콜 음료점업,남성,475,5641960,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한림읍,관광 민예품 및 선물용품 소매업,남성,53,1240800,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,일도2동,욕탕업,남성,68,482000,9752049.415,567791.426,4040475.83,2020-12-15
2019-01-01,제주시,이도1동,전시 및 행사 대행업,여성,8,582500,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,기타 주점업,여성,24,5420000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,기타음식료품위주종합소매업,여성,12,227000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,비알콜 음료점업,여성,868,8756760,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,빵 및 과자류 소매업,여성,1330,18864910,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,서양식 음식점업,여성,495,8112000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,수산물 소매업,여성,2292,129896823,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,일도2동,여행사업,남성,12,14872950,9752049.415,567791.426,4040475.83,2020-12-15
2019-01-01,제주시,이도1동,슈퍼마켓,여성,3676,84469750,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,여관업,여성,95,5809700,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,여행사업,여성,1,10000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,욕탕업,여성,22,1565800,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,육류 소매업,여성,508,17024000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,일반유흥 주점업,여성,43,15107000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,일식 음식점업,여성,285,8819000,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,이도1동,스포츠 및 레크레이션 용품 임대업,여성,217,29203400,2515123.374,567260.298,2954962.629,2020-12-15
2019-01-01,제주시,한경면,비알콜 음료점업,여성,109,2191600,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한림읍,육류 소매업,남성,415,38269170,7033631.221,678647.0959999999,3449622.895,2020-12-15
2019-01-01,제주시,한경면,육류 소매업,남성,6,1728200,2129770.455,214431.462,1242081.622,2020-12-15
2019-01-01,제주시,한경면,골프장 운영업,여성,200,30630250,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,내항 여객 운송업,여성,7,484000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,기타음식료품위주종합소매업,여성,1058,37772930,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,기타 주점업,여성,2,480000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,기타 수상오락 서비스업,여성,1,36000,1944550.136,113190.208,960843.047,2020-12-15
2019-01-01,제주시,한경면,관광 민예품 및 선물용품 소매업,여성,31,196500,1944550.136,113190.208,960843.047,2020-12-15
